Norway, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 19/04/2023
Year    Age        Exposure
1982     47        18657.77
1982     48        18386.21
1982     49        19174.68
1982     50        19974.39
1982     51        20960.78
1982     52        20584.33
1982     53        20803.17
1982     54        21137.33
1982     55        21730.50
1983     12        31908.34
1983     13        32270.20
1983     14        33203.41
1983     15        32467.35
1983     16        32179.79
1983     17        32230.87
1983     18        31890.67
1983     19        31128.04
1983     20        30687.14
1983     21        30092.59
1983     22        29945.25
1983     23        30099.66
1983     24        30399.68
1983     25        30506.82
1983     26        30574.87
1983     27        30658.84
1983     28        30314.70
1983     29        29972.09
1983     30        30181.12
1983     31        28850.26
1983     32        28927.75
1983     33        29424.16
1983     34        29720.74
1983     35        30746.53
1983     36        31977.18
1983     37        31426.46
1983     38        28794.57
1983     39        27198.82
1983     40        24152.12
1983     41        22136.29
1983     42        20811.38
1983     43        21258.96
1983     44        20783.28
1983     45        20174.22
1983     46        19223.91
1983     47        18652.16
1983     48        18630.89
1983     49        18353.09
1983     50        19134.15
1983     51        19918.22
1983     52        20904.81
1983     53        20509.67
1983     54        20730.50
1983     55        21040.83
1984     12        31975.21
1984     13        31927.60
1984     14        32297.07
1984     15        33216.43
1984     16        32510.63
1984     17        32263.09
1984     18        32312.35
1984     19        31995.58
1984     20        31176.55
1984     21        30681.58
1984     22        30100.18
1984     23        29975.76
1984     24        30162.62
1984     25        30451.46
1984     26        30546.12
1984     27        30625.12
1984     28        30687.49
1984     29        30386.74
1984     30        30014.57
1984     31        30233.01
1984     32        28835.21
1984     33        28940.79
1984     34        29455.92
1984     35        29742.30
1984     36        30742.79
1984     37        31968.35
1984     38        31431.37
1984     39        28773.44
1984     40        27213.13
1984     41        24134.77
1984     42        22128.20
1984     43        20785.79
1984     44        21246.70
1984     45        20761.74
1984     46        20151.50
1984     47        19201.56
1984     48        18612.11
1984     49        18600.05
1984     50        18311.26
1984     51        19081.84
1984     52        19862.59
1984     53        20824.24
1984     54        20429.83
1984     55        20637.17
1985     12        30901.28
1985     13        31995.57
1985     14        31940.37
1985     15        32316.26
1985     16        33256.75
1985     17        32592.58
1985     18        32370.56
1985     19        32449.53
1985     20        32037.78
1985     21        31197.39
1985     22        30727.35
1985     23        30178.36
1985     24        30042.21
1985     25        30246.03
1985     26        30536.46
1985     27        30617.45
1985     28        30686.51
1985     29        30752.78
1985     30        30422.39
1985     31        30060.60
1985     32        30249.77
1985     33        28853.71
1985     34        28983.10
1985     35        29475.26
1985     36        29753.60
1985     37        30735.14
1985     38        31968.31
1985     39        31426.55
1985     40        28787.23
1985     41        27195.31
1985     42        24115.45
1985     43        22098.64
1985     44        20761.74
1985     45        21222.14
1985     46        20732.13
1985     47        20126.74
1985     48        19145.52
1985     49        18568.00
1985     50        18550.54
1985     51        18255.25
1985     52        19027.53
1985     53        19798.84
1985     54        20740.13
1985     55        20344.50
1986     12        29990.13
1986     13        30936.54
1986     14        32011.95
1986     15        31981.11
1986     16        32364.29
1986     17        33366.23
1986     18        32748.69
1986     19        32530.32
1986     20        32546.46
1986     21        32114.94
1986     22        31292.57
1986     23        30854.89
1986     24        30282.72
1986     25        30171.37
1986     26        30370.42
1986     27        30630.93
1986     28        30721.71
1986     29        30765.08
1986     30        30817.78
1986     31        30476.65
1986     32        30108.65
1986     33        30270.32
1986     34        28897.69
1986     35        29003.39
1986     36        29498.41
1986     37        29748.43
1986     38        30728.41
1986     39        31979.61
1986     40        31420.60
1986     41        28780.53
1986     42        27179.04
1986     43        24102.53
1986     44        22073.75
1986     45        20741.12
1986     46        21194.81
1986     47        20702.63
1986     48        20072.75
1986     49        19095.25
1986     50        18514.79
1986     51        18489.79
1986     52        18193.06
1986     53        18980.35
1986     54        19715.01
1986     55        20659.34
1987     12        28666.74
1987     13        30025.68
1987     14        30982.24
1987     15        32068.23
1987     16        32029.50
1987     17        32491.18
1987     18        33525.23
1987     19        32919.87
1987     20        32670.69
1987     21        32639.58
1987     22        32258.89
1987     23        31470.13
1987     24        31035.40
1987     25        30465.60
1987     26        30347.38
1987     27        30494.52
1987     28        30770.41
1987     29        30874.62
1987     30        30886.59
1987     31        30908.91
1987     32        30556.12
1987     33        30158.34
1987     34        30328.23
1987     35        28933.68
1987     36        29024.24
1987     37        29502.41
1987     38        29753.02
1987     39        30741.14
1987     40        31972.01
1987     41        31424.09
1987     42        28765.49
1987     43        27189.22
1987     44        24091.14
1987     45        22056.23
1987     46        20722.94
1987     47        21160.66
1987     48        20669.97
1987     49        20006.93
1987     50        19050.08
1987     51        18455.95
1987     52        18428.42
1987     53        18139.35
1987     54        18914.79
1987     55        19623.95
1988     12        27064.17
1988     13        28705.83
1988     14        30075.47
1988     15        31029.05
1988     16        32121.14
1988     17        32154.80
1988     18        32645.41
1988     19        33681.24
1988     20        33048.34
1988     21        32756.96
1988     22        32786.61
1988     23        32428.82
1988     24        31648.09
1988     25        31212.29
1988     26        30652.85
1988     27        30528.43
1988     28        30653.86
1988     29        30924.50
1988     30        30996.22
1988     31        30994.96
1988     32        30995.63
1988     33        30618.21
1988     34        30228.31
1988     35        30371.98
1988     36        28942.87
1988     37        29033.98
1988     38        29533.87
1988     39        29767.85
1988     40        30745.78
1988     41        31950.00
1988     42        31387.59
1988     43        28747.84
1988     44        27173.96
1988     45        24069.34
1988     46        22023.60
1988     47        20672.37
1988     48        21125.76
1988     49        20613.29
1988     50        19965.14
1988     51        18996.47
1988     52        18399.82
1988     53        18366.24
1988     54        18085.67
1988     55        18826.95
1989     12        25927.10
1989     13        27093.56
1989     14        28733.74
1989     15        30110.66
1989     16        31074.75
1989     17        32219.54
1989     18        32215.31
1989     19        32613.50
1989     20        33644.17
1989     21        32968.19
1989     22        32765.55
1989     23        32802.03
1989     24        32500.95
1989     25        31717.95
1989     26        31301.85
1989     27        30768.20
1989     28        30616.68
1989     29        30716.38
1989     30        30967.36
1989     31        31043.90
1989     32        31011.94
1989     33        31017.03
1989     34        30669.82
1989     35        30217.76
1989     36        30363.57
1989     37        28930.48
1989     38        29023.92
1989     39        29514.74
1989     40        29747.89
1989     41        30689.32
1989     42        31909.58
1989     43        31345.75
1989     44        28691.87
1989     45        27127.49
1989     46        24025.73
1989     47        21972.66
1989     48        20619.44
1989     49        21075.17
1989     50        20551.24
1989     51        19915.27
1989     52        18932.40
1989     53        18349.19
1989     54        18303.50
1989     55        18010.34
1990     12        25292.80
1990     13        25953.54
1990     14        27130.57
1990     15        28764.92
1990     16        30149.14
1990     17        31173.77
1990     18        32236.25
1990     19        32132.78
1990     20        32537.75
1990     21        33534.33
1990     22        32957.48
1990     23        32731.71
1990     24        32808.42
1990     25        32519.77
1990     26        31768.47
1990     27        31323.84
1990     28        30782.63
1990     29        30639.41
1990     30        30723.99
1990     31        30965.24
1990     32        31021.42
1990     33        30990.54
1990     34        31032.51
1990     35        30646.20
1990     36        30197.87
1990     37        30332.73
1990     38        28905.81
1990     39        28989.36
1990     40        29468.65
1990     41        29681.70
1990     42        30653.00
1990     43        31865.38
1990     44        31267.56
1990     45        28638.72
1990     46        27062.14
1990     47        23967.79
1990     48        21908.61
1990     49        20559.39
1990     50        21013.70
1990     51        20498.78
1990     52        19846.07
1990     53        18881.99
1990     54        18284.21
1990     55        18222.00
1991     12        25793.34
1991     13        25328.05
1991     14        26008.69
1991     15        27167.25
1991     16        28814.36
1991     17        30267.75
1991     18        31285.25
1991     19        32261.70
1991     20        32215.29
1991     21        32631.62
1991     22        33644.71
1991     23        33036.66
1991     24        32816.18
1991     25        32906.04
1991     26        32610.87
1991     27        31832.30
1991     28        31368.64
1991     29        30850.62
1991     30        30667.25
1991     31        30760.03
1991     32        30965.20
1991     33        31015.19
1991     34        31011.50
1991     35        31055.30
1991     36        30650.35
1991     37        30174.87
1991     38        30322.15
1991     39        28890.68
1991     40        28965.16
1991     41        29441.43
1991     42        29670.97
1991     43        30616.55
1991     44        31811.14
1991     45        31232.41
1991     46        28589.24
1991     47        26996.07
1991     48        23912.27
1991     49        21862.14
1991     50        20515.00
1991     51        20956.50
1991     52        20435.29
1991     53        19793.32
1991     54        18817.93
1991     55        18222.06
1992     12        25369.66
1992     13        25830.17
1992     14        25376.61
1992     15        26066.23
1992     16        27226.75
1992     17        28927.60
1992     18        30403.00
1992     19        31326.48
1992     20        32408.05
1992     21        32363.02
1992     22        32770.75
1992     23        33824.09
1992     24        33216.58
1992     25        32987.39
1992     26        33058.50
1992     27        32755.39
1992     28        31941.12
1992     29        31484.85
1992     30        30958.48
1992     31        30743.39
1992     32        30803.11
1992     33        31008.08
1992     34        31060.37
1992     35        31066.28
1992     36        31087.86
1992     37        30659.94
1992     38        30188.01
1992     39        30331.79
1992     40        28883.13
1992     41        28974.22
1992     42        29460.43
1992     43        29653.31
1992     44        30588.44
1992     45        31793.63
1992     46        31207.19
1992     47        28547.49
1992     48        26958.47
1992     49        23888.47
1992     50        21826.19
1992     51        20461.38
1992     52        20919.85
1992     53        20376.56
1992     54        19735.99
1992     55        18760.33
1993     12        25606.38
1993     13        25453.71
1993     14        25894.20
1993     15        25456.51
1993     16        26169.22
1993     17        27374.53
1993     18        29095.48
1993     19        30469.74
1993     20        31499.14
1993     21        32547.60
1993     22        32543.40
1993     23        32989.43
1993     24        34040.62
1993     25        33415.08
1993     26        33167.97
1993     27        33228.46
1993     28        32904.05
1993     29        32067.19
1993     30        31644.26
1993     31        31058.02
1993     32        30833.08
1993     33        30874.87
1993     34        31085.90
1993     35        31155.67
1993     36        31125.10
1993     37        31150.55
1993     38        30716.16
1993     39        30237.89
1993     40        30350.83
1993     41        28904.30
1993     42        29009.48
1993     43        29492.49
1993     44        29682.10
1993     45        30598.12
1993     46        31777.04
1993     47        31193.17
1993     48        28533.88
1993     49        26946.75
1993     50        23864.68
1993     51        21777.65
1993     52        20438.96
1993     53        20871.38
1993     54        20327.36
