Finland, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Exposure
1953     19        29275.58
1953     20        29221.86
1953     21        30532.29
1953     22        31798.08
1953     23        32415.05
1953     24        32551.44
1953     25        31574.57
1953     26        30967.57
1953     27        31517.33
1953     28        31356.07
1953     29        32210.86
1953     30        31439.87
1953     31        31643.96
1953     32        32301.93
1953     33        29635.98
1953     34        25193.05
1953     35        28935.57
1953     36        28425.65
1953     37        27940.00
1953     38        29563.65
1953     39        30060.93
1953     40        30635.23
1953     41        31068.74
1953     42        30943.60
1953     43        30855.38
1953     44        30715.71
1953     45        29981.59
1953     46        29496.17
1953     47        27911.67
1953     48        27300.42
1953     49        26245.17
1953     50        24802.90
1953     51        24899.16
1953     52        24083.41
1953     53        23704.79
1953     54        23274.13
1953     55        22145.02
1954     12        34050.21
1954     13        33780.23
1954     14        34106.16
1954     15        34093.59
1954     16        32842.06
1954     17        30885.12
1954     18        30812.56
1954     19        30407.11
1954     20        29080.40
1954     21        29045.76
1954     22        30373.44
1954     23        31630.76
1954     24        32274.38
1954     25        32416.18
1954     26        31461.90
1954     27        30857.41
1954     28        31414.85
1954     29        31262.01
1954     30        32119.31
1954     31        31349.04
1954     32        31555.43
1954     33        32206.88
1954     34        29557.35
1954     35        25134.18
1954     36        28858.29
1954     37        28350.06
1954     38        27854.55
1954     39        29476.82
1954     40        29983.99
1954     41        30535.11
1954     42        30975.11
1954     43        30838.14
1954     44        30747.34
1954     45        30607.58
1954     46        29855.75
1954     47        29363.03
1954     48        27782.60
1954     49        27168.53
1954     50        26114.27
1954     51        24656.26
1954     52        24737.94
1954     53        23919.33
1954     54        23523.88
1954     55        23082.34
1955     12        31133.12
1955     13        34022.98
1955     14        33728.22
1955     15        34024.22
1955     16        33983.45
1955     17        32702.64
1955     18        30717.30
1955     19        30631.79
1955     20        30217.19
1955     21        28893.41
1955     22        28875.65
1955     23        30206.78
1955     24        31480.03
1955     25        32137.66
1955     26        32296.18
1955     27        31351.37
1955     28        30769.31
1955     29        31323.87
1955     30        31161.85
1955     31        32029.22
1955     32        31276.31
1955     33        31473.84
1955     34        32120.98
1955     35        29487.09
1955     36        25071.99
1955     37        28789.42
1955     38        28271.51
1955     39        27781.07
1955     40        29403.35
1955     41        29890.07
1955     42        30454.24
1955     43        30878.23
1955     44        30734.17
1955     45        30643.61
1955     46        30493.45
1955     47        29724.74
1955     48        29238.49
1955     49        27657.98
1955     50        27041.45
1955     51        25951.13
1955     52        24504.30
1955     53        24577.23
1955     54        23753.00
1955     55        23349.30
1956     12        35381.62
1956     13        31124.93
1956     14        33991.73
1956     15        33672.41
1956     16        33917.17
1956     17        33839.38
1956     18        32532.62
1956     19        30528.37
1956     20        30442.95
1956     21        30015.11
1956     22        28692.88
1956     23        28686.58
1956     24        30022.76
1956     25        31315.59
1956     26        31988.31
1956     27        32173.82
1956     28        31241.27
1956     29        30667.15
1956     30        31219.98
1956     31        31062.68
1956     32        31943.47
1956     33        31206.59
1956     34        31392.31
