"Country","Year","Age","ASFR"
"FIN",1953,16,0.00274
"FIN",1953,17,0.01584
"FIN",1953,18,0.04305
"FIN",1953,19,0.07871
"FIN",1953,20,0.11225
"FIN",1953,21,0.14294
"FIN",1953,22,0.1665
"FIN",1953,23,0.17512
"FIN",1953,24,0.1793
"FIN",1953,25,0.17836
"FIN",1953,26,0.17468
"FIN",1953,27,0.16443
"FIN",1953,28,0.15472
"FIN",1953,29,0.15021
"FIN",1953,30,0.1413
"FIN",1953,31,0.13078
"FIN",1953,32,0.12613
"FIN",1953,33,0.11683
"FIN",1953,34,0.10305
"FIN",1953,35,0.09919
"FIN",1953,36,0.08803
"FIN",1953,37,0.08089
"FIN",1953,38,0.07243
"FIN",1953,39,0.06368
"FIN",1953,40,0.05435
"FIN",1953,41,0.04416
"FIN",1953,42,0.03591
"FIN",1953,43,0.02457
"FIN",1953,44,0.0153
"FIN",1953,45,0.00881
"FIN",1953,46,0.00495
"FIN",1953,47,0.00211
"FIN",1953,48,0.00073
"FIN",1953,49,0.00046
"FIN",1953,50,0.00012
"FIN",1953,51,4e-05
"FIN",1953,52,5e-05
"FIN",1953,53,4e-05
"FIN",1953,54,2e-05
"FIN",1953,55,1e-05
"FIN",1954,12,0
"FIN",1954,13,6e-05
"FIN",1954,14,0.00012
"FIN",1954,15,0.00044
"FIN",1954,16,0.00314
"FIN",1954,17,0.01512
"FIN",1954,18,0.04544
"FIN",1954,19,0.08127
"FIN",1954,20,0.12191
"FIN",1954,21,0.1464
"FIN",1954,22,0.16769
"FIN",1954,23,0.18133
"FIN",1954,24,0.1827
"FIN",1954,25,0.1802
"FIN",1954,26,0.17257
"FIN",1954,27,0.16062
"FIN",1954,28,0.1557
"FIN",1954,29,0.14501
"FIN",1954,30,0.13965
"FIN",1954,31,0.12767
"FIN",1954,32,0.11809
"FIN",1954,33,0.11085
"FIN",1954,34,0.10469
"FIN",1954,35,0.09593
"FIN",1954,36,0.08539
"FIN",1954,37,0.07895
"FIN",1954,38,0.07026
"FIN",1954,39,0.05964
"FIN",1954,40,0.0536
"FIN",1954,41,0.03996
"FIN",1954,42,0.03271
"FIN",1954,43,0.02335
"FIN",1954,44,0.01483
"FIN",1954,45,0.0082
"FIN",1954,46,0.00462
"FIN",1954,47,0.00201
"FIN",1954,48,0.00097
"FIN",1954,49,0.00015
"FIN",1954,50,0.00011
"FIN",1954,51,4e-05
"FIN",1954,52,2e-05
"FIN",1954,53,1e-05
"FIN",1954,54,1e-05
"FIN",1954,55,0
"FIN",1955,12,0
"FIN",1955,13,0
"FIN",1955,14,0.00012
"FIN",1955,15,0.00038
"FIN",1955,16,0.00315
"FIN",1955,17,0.01547
"FIN",1955,18,0.04522
"FIN",1955,19,0.0841
"FIN",1955,20,0.12281
"FIN",1955,21,0.15218
"FIN",1955,22,0.17129
"FIN",1955,23,0.1789
"FIN",1955,24,0.18333
"FIN",1955,25,0.17877
"FIN",1955,26,0.17479
"FIN",1955,27,0.17142
"FIN",1955,28,0.15643
"FIN",1955,29,0.1437
"FIN",1955,30,0.13591
"FIN",1955,31,0.12498
"FIN",1955,32,0.11648
"FIN",1955,33,0.11086
"FIN",1955,34,0.10012
"FIN",1955,35,0.09581
"FIN",1955,36,0.08328
"FIN",1955,37,0.07559
"FIN",1955,38,0.07007
"FIN",1955,39,0.06116
"FIN",1955,40,0.05204
"FIN",1955,41,0.04249
"FIN",1955,42,0.03297
"FIN",1955,43,0.02471
"FIN",1955,44,0.01438
"FIN",1955,45,0.00865
"FIN",1955,46,0.00387
"FIN",1955,47,0.00198
"FIN",1955,48,0.00062
"FIN",1955,49,0.00022
"FIN",1955,50,0.00015
"FIN",1955,51,4e-05
"FIN",1955,52,2e-05
"FIN",1955,53,1e-05
"FIN",1955,54,1e-05
"FIN",1955,55,0
"FIN",1956,12,0
"FIN",1956,13,0
"FIN",1956,14,0.00018
"FIN",1956,15,3e-04
"FIN",1956,16,0.00313
"FIN",1956,17,0.01711
"FIN",1956,18,0.03667
"FIN",1956,19,0.09165
"FIN",1956,20,0.12696
"FIN",1956,21,0.15519
"FIN",1956,22,0.17572
"FIN",1956,23,0.18259
"FIN",1956,24,0.18666
"FIN",1956,25,0.18409
"FIN",1956,26,0.17722
"FIN",1956,27,0.1652
"FIN",1956,28,0.15457
"FIN",1956,29,0.14468
"FIN",1956,30,0.13306
"FIN",1956,31,0.12285
"FIN",1956,32,0.11705
"FIN",1956,33,0.10607
"FIN",1956,34,0.0999
"FIN",1956,35,0.09044
"FIN",1956,36,0.08479
"FIN",1956,37,0.0721
"FIN",1956,38,0.06733
"FIN",1956,39,0.05605
"FIN",1956,40,0.0492
"FIN",1956,41,0.039
"FIN",1956,42,0.02848
"FIN",1956,43,0.02151
"FIN",1956,44,0.01439
"FIN",1956,45,0.00856
"FIN",1956,46,0.00429
"FIN",1956,47,0.00175
"FIN",1956,48,0.00047
"FIN",1956,49,1e-04
"FIN",1956,50,0.00015
"FIN",1956,51,4e-05
"FIN",1956,52,3e-05
"FIN",1956,53,2e-05
"FIN",1956,54,1e-05
"FIN",1956,55,1e-05
"FIN",1957,12,0
"FIN",1957,13,0
"FIN",1957,14,6e-05
"FIN",1957,15,5e-04
"FIN",1957,16,0.00265
"FIN",1957,17,0.01635
"FIN",1957,18,0.04748
"FIN",1957,19,0.08577
"FIN",1957,20,0.12223
"FIN",1957,21,0.1556
"FIN",1957,22,0.17774
"FIN",1957,23,0.18376
"FIN",1957,24,0.18747
"FIN",1957,25,0.17976
"FIN",1957,26,0.17611
"FIN",1957,27,0.16379
"FIN",1957,28,0.15112
"FIN",1957,29,0.14147
"FIN",1957,30,0.13174
"FIN",1957,31,0.11773
"FIN",1957,32,0.11006
"FIN",1957,33,0.10352
"FIN",1957,34,0.09605
"FIN",1957,35,0.08813
"FIN",1957,36,0.07859
"FIN",1957,37,0.06982
"FIN",1957,38,0.06092
"FIN",1957,39,0.0534
